ensgene,gso32.BL6.N.N.4h.1,gso32.BL6.IFNb.N.4h.1,gso32.BL6.N.N.4h.2,gso32.BL6.IFNb.N.4h.2,gso32.BL6.N.N.24h.1,gso32.BL6.IFNb.N.24h.1,gso32.BL6.N.N.24h.2,gso32.BL6.IFNb.N.24h.2
ENSMUSG00000026176,3570,2080,3631,2144,5272,3553,4848,3286
ENSMUSG00000033364,628,246,738,223,420,306,380,318
ENSMUSG00000026174,2350,1287,2593,1353,1551,1254,1681,1321
ENSMUSG00000026135,345,130,387,131,348,255,388,266
ENSMUSG00000026172,298,84,318,92,332,297,288,240
ENSMUSG00000026171,684,595,599,529,771,1277,678,1230
ENSMUSG00000033276,44,51,50,49,96,59,92,58
ENSMUSG00000033257,481,98,529,77,350,227,328,237
ENSMUSG00000026170,318,487,295,535,2899,609,2518,543
ENSMUSG00000033227,23,25,27,24,42,52,40,62
ENSMUSG00000026162,90,31,88,23,180,59,135,58
ENSMUSG00000033159,1681,1264,1637,1321,3165,2925,2759,2977
ENSMUSG00000049339,2692,872,2455,853,3981,2618,3821,2529
ENSMUSG00000026197,453,260,419,221,542,445,490,403
ENSMUSG00000026198,507,109,513,99,219,121,222,93
ENSMUSG00000033124,1727,764,1753,720,1643,1446,1539,1362
ENSMUSG00000026199,364,125,378,123,478,338,439,312
ENSMUSG00000026200,325,219,370,201,434,357,390,375
ENSMUSG00000026201,767,413,799,409,673,713,609,721
ENSMUSG00000026202,1115,181,1170,169,420,248,368,258
ENSMUSG00000026203,266,161,234,122,143,167,108,132
ENSMUSG00000026204,96,99,73,83,20,45,20,45
ENSMUSG00000026209,1133,712,1118,598,1282,845,1164,776
ENSMUSG00000026207,1606,1209,1554,1285,1437,3132,1329,2996
ENSMUSG00000033021,1205,770,1163,830,1215,1138,1238,1216
ENSMUSG00000032997,24,27,21,26,16,50,13,32
ENSMUSG00000026213,850,569,839,561,1724,1108,1589,1064
ENSMUSG00000006576,10,11,17,10,35,22,21,13
ENSMUSG00000026235,6,2,0,0,25,8,11,4
ENSMUSG00000026245,1832,383,1847,341,990,866,1007,820
ENSMUSG00000032883,1652,182,1702,200,968,325,992,353
ENSMUSG00000079470,598,69,702,68,214,105,260,96
