ensgene,gso32.BL6.N.N.4h.1,gso32.BL6.IFNb.N.4h.1,gso32.BL6.N.N.4h.2,gso32.BL6.IFNb.N.4h.2,gso32.BL6.N.N.24h.1,gso32.BL6.IFNb.N.24h.1,gso32.BL6.N.N.24h.2,gso32.BL6.IFNb.N.24h.2
ENSMUSG00000051615,4961,1640,5101,1795,2368,1059,2463,1114
ENSMUSG00000030662,4488,2287,4793,2261,2352,3921,2535,3770
ENSMUSG00000025555,27,25,43,23,17,8,23,10
ENSMUSG00000063410,3253,1585,3254,1573,4074,2703,3758,2600
ENSMUSG00000025558,48,7,63,12,99,13,92,18
ENSMUSG00000041765,754,541,801,587,1245,1249,1122,1244
ENSMUSG00000050350,6,4,5,2,42,33,35,28
ENSMUSG00000051212,2057,144,2028,137,552,287,645,216
ENSMUSG00000025544,4405,2943,4474,2946,4213,3124,4314,3426
ENSMUSG00000025545,242,143,215,95,223,171,248,141
ENSMUSG00000041650,503,393,504,402,602,357,628,340
ENSMUSG00000041625,245,146,240,141,430,106,405,107
ENSMUSG00000041594,219,141,222,138,114,68,127,84
ENSMUSG00000097312,26,15,12,11,18,13,21,17
ENSMUSG00000025899,249,85,272,81,218,140,221,168
ENSMUSG00000025898,558,390,619,380,578,497,529,507
ENSMUSG00000025894,389,98,368,76,274,231,269,213
ENSMUSG00000025893,78,31,103,33,106,41,88,49
ENSMUSG00000041124,976,742,1052,743,943,904,898,1010
ENSMUSG00000025888,2357,14928,2413,15172,2639,6305,2382,6756
ENSMUSG00000033538,387,6921,364,6999,1162,3283,1042,3160
ENSMUSG00000025887,1,159,1,187,28,75,22,58
ENSMUSG00000047193,115,89,108,105,169,52,149,63
ENSMUSG00000032002,1165,703,1115,675,791,878,774,932
ENSMUSG00000050578,714,40527,575,45551,258,3514,227,4096
ENSMUSG00000049723,11670,11550,9649,10324,3526,2431,2960,2280
ENSMUSG00000005800,45,26,18,22,79,63,75,55
ENSMUSG00000070323,13,5,3,7,41,93,45,95
ENSMUSG00000074516,157,130,179,121,215,93,180,101
ENSMUSG00000050912,4624,2080,4858,2165,3932,1978,3958,1922
ENSMUSG00000057367,414,533,438,543,712,677,652,748
ENSMUSG00000032000,610,933,627,950,2138,1168,1984,1114
ENSMUSG00000079083,283,190,344,164,364,318,349,332
ENSMUSG00000079084,291,187,342,167,377,199,369,264
ENSMUSG00000031925,235,221,245,229,623,329,636,299
ENSMUSG00000031918,1623,1184,1771,1148,1323,1236,1268,1248
ENSMUSG00000031922,906,187,968,179,831,407,831,395
ENSMUSG00000037808,1186,526,1312,558,1158,811,1250,952
ENSMUSG00000032009,143,525,135,550,390,117,290,157
ENSMUSG00000037419,2942,5645,3076,5912,926,2270,990,2668
ENSMUSG00000004096,3160,4276,3096,4387,3077,2188,3053,2151
ENSMUSG00000013076,121,17,137,14,51,34,50,33
ENSMUSG00000036912,8,115,6,114,4,107,6,122
ENSMUSG00000049307,105,61,88,55,117,117,101,108
ENSMUSG00000031931,750,402,795,387,442,493,469,431
ENSMUSG00000031928,974,238,1113,283,620,352,646,373
ENSMUSG00000090023,469,386,377,351,230,168,201,150
ENSMUSG00000031934,436,195,379,188,231,89,266,87
ENSMUSG00000031935,1179,699,1167,662,1112,1073,1170,977
ENSMUSG00000031938,1026,553,988,641,1793,1056,1618,1055
ENSMUSG00000031939,500,153,532,126,356,345,383,308
ENSMUSG00000064797,17,2,29,4,6,2,14,7
ENSMUSG00000065265,15,8,16,2,10,2,6,8
ENSMUSG00000046111,932,276,1009,289,653,400,617,362
ENSMUSG00000058173,96,9,90,15,48,28,41,28
ENSMUSG00000043885,1135,245,1262,266,1095,531,1013,612
ENSMUSG00000074505,1314,184,1494,240,486,301,590,426
ENSMUSG00000090602,449,116,443,133,533,243,471,233
ENSMUSG00000001774,1264,841,1350,809,887,797,932,895
ENSMUSG00000074501,7,6,2,2,4,2,2,1
ENSMUSG00000074500,18,8,20,9,30,17,24,24
ENSMUSG00000057551,208,107,255,100,285,215,240,261
ENSMUSG00000091460,323,300,217,198,312,178,293,211
ENSMUSG00000045519,190,89,220,81,196,131,212,129
ENSMUSG00000063108,290,278,402,268,414,315,376,357
ENSMUSG00000059475,478,316,504,328,561,467,587,475
ENSMUSG00000060510,525,108,595,107,640,393,564,389
ENSMUSG00000058192,181,44,170,52,180,137,162,163
ENSMUSG00000066892,157,129,115,101,164,175,174,192
ENSMUSG00000084786,2327,2311,2075,2238,2515,1880,2455,1891
ENSMUSG00000032171,1006,525,952,531,539,546,534,561
ENSMUSG00000038884,200,552,195,560,302,374,315,415
ENSMUSG00000038742,25,5,20,7,31,39,29,34
ENSMUSG00000004100,677,73,768,66,113,225,136,225
ENSMUSG00000070319,1900,593,1748,632,1008,1181,989,1123
ENSMUSG00000004099,4632,2366,4682,2602,2856,1958,2953,1984
ENSMUSG00000043895,2161,7812,2149,7687,2402,5454,2387,5948
ENSMUSG00000003299,1482,1670,1356,1739,1116,1168,1118,1084
ENSMUSG00000037405,2195,4847,2206,4918,2918,3272,2500,3232
ENSMUSG00000032174,12,15,12,31,19,15,17,11
ENSMUSG00000079677,489,131,451,132,228,331,212,329
ENSMUSG00000010205,2596,1718,2662,1730,1547,1504,1634,1377
ENSMUSG00000032175,1772,6191,1831,6350,2626,3475,2334,3473
ENSMUSG00000019471,4341,3362,4096,3532,3859,3526,3839,3413
ENSMUSG00000032177,665,542,663,661,592,416,620,408
ENSMUSG00000097439,17,48,16,37,18,39,16,33
ENSMUSG00000003308,1176,3540,1146,3630,1183,2707,1198,2811
ENSMUSG00000002820,377,462,328,460,306,392,297,464
ENSMUSG00000035047,618,256,593,282,333,514,317,469
ENSMUSG00000096472,948,1984,888,2018,799,302,746,319
ENSMUSG00000057193,1508,2876,1556,3041,2296,2061,2167,2200
ENSMUSG00000032178,1367,1192,1375,1034,1393,947,1416,973
ENSMUSG00000002825,109,73,128,73,113,136,88,142
ENSMUSG00000033335,5037,3808,5052,3905,5667,5185,5294,4982
ENSMUSG00000032180,276,327,240,313,178,227,185,214
ENSMUSG00000057191,1743,3873,1749,4057,3761,5013,3590,4732
ENSMUSG00000032185,946,226,949,253,514,345,552,323
ENSMUSG00000032182,272,224,275,226,405,509,386,465
ENSMUSG00000048429,942,554,937,555,825,779,830,830
ENSMUSG00000032187,4025,4524,4165,4553,3211,3608,3169,3506
ENSMUSG00000032193,5731,3933,5937,4197,916,437,1040,408
ENSMUSG00000074476,462,164,432,160,394,44,406,43
ENSMUSG00000032194,1441,870,1505,962,1908,244,1835,224
ENSMUSG00000032198,265,225,295,180,348,117,322,148
ENSMUSG00000019066,1648,934,1610,975,1443,679,1406,687
ENSMUSG00000040883,783,438,698,548,650,925,600,878
ENSMUSG00000006241,29,9,24,13,41,49,35,49
ENSMUSG00000040563,95,30,91,34,94,68,88,68
ENSMUSG00000051238,170,39,181,49,85,99,105,88
ENSMUSG00000006235,27,4,23,3,209,13,184,9
ENSMUSG00000040146,161,44,133,37,284,78,236,85
ENSMUSG00000039632,6,5,5,2,11,2,22,2
ENSMUSG00000003402,2572,2619,2382,2533,2407,2469,2454,2354
ENSMUSG00000038895,229,156,247,150,194,177,194,158
ENSMUSG00000096981,52,35,47,26,108,30,107,25
ENSMUSG00000066839,276,56,310,64,120,323,108,311
ENSMUSG00000013822,1222,924,1234,956,988,839,914,872
ENSMUSG00000001348,66,58,65,49,70,117,38,81
ENSMUSG00000010607,306,109,383,120,348,227,308,229
ENSMUSG00000057982,245,93,280,81,206,331,207,360
ENSMUSG00000066829,256,137,292,131,238,321,213,315
ENSMUSG00000036777,2804,177,3287,190,2408,269,2683,252
ENSMUSG00000032239,671,270,704,271,888,838,840,801
ENSMUSG00000035919,207,51,210,37,488,133,447,125
ENSMUSG00000043067,953,2734,1024,2980,822,781,984,885
ENSMUSG00000008429,1579,1846,1490,1988,2085,1901,2124,1915
ENSMUSG00000001833,6038,4113,6388,4090,3697,4415,3974,4910
ENSMUSG00000036611,287,430,226,458,1196,446,1026,457
ENSMUSG00000031969,620,269,664,237,908,665,872,708
ENSMUSG00000035443,364,113,383,125,283,239,291,212
ENSMUSG00000031988,1727,909,1781,907,2130,1407,2054,1332
ENSMUSG00000035024,1174,262,1391,270,880,307,856,317
ENSMUSG00000031990,14,11,18,7,14,0,14,2
ENSMUSG00000031993,1126,688,1270,808,872,967,877,1088
ENSMUSG00000047412,588,129,695,118,688,613,734,635
ENSMUSG00000031995,141,51,118,62,223,107,258,82
ENSMUSG00000031996,16022,6592,15846,6586,23403,10590,21128,9967
ENSMUSG00000042496,99,72,184,90,184,211,161,193
ENSMUSG00000042185,708,537,720,612,727,635,718,629
ENSMUSG00000041444,69,22,66,21,59,22,77,19
ENSMUSG00000016087,2428,767,2828,781,3580,2732,3640,2670
ENSMUSG00000032035,314,35,395,22,142,216,200,199
ENSMUSG00000032038,649,489,647,487,636,462,576,490
ENSMUSG00000032040,581,239,547,236,819,344,766,343
ENSMUSG00000032041,660,703,765,654,531,771,522,755
ENSMUSG00000032042,3436,3607,3465,3627,2234,3100,2230,3319
ENSMUSG00000039048,501,709,493,681,459,735,426,750
ENSMUSG00000050471,465,175,440,158,528,349,570,322
ENSMUSG00000032044,582,276,555,269,664,570,600,573
ENSMUSG00000038119,27,0,21,2,19,5,16,5
ENSMUSG00000050555,268,26,263,33,251,94,281,90
ENSMUSG00000032113,429,97,490,105,109,46,160,64
ENSMUSG00000032116,5916,3821,6198,4089,4824,3312,4927,3574
ENSMUSG00000062762,2927,1539,3001,1520,3504,3404,3404,3650
ENSMUSG00000032121,192,78,194,75,217,185,208,146
ENSMUSG00000032122,17314,11844,16354,12294,6000,13446,4939,14278
ENSMUSG00000034303,45,9,59,12,44,16,56,20
ENSMUSG00000042138,247,232,270,224,251,223,288,228
ENSMUSG00000001948,23,35,19,20,24,15,20,14
ENSMUSG00000001942,1397,934,1553,937,2277,1413,2081,1371
ENSMUSG00000011114,2051,3871,2029,3575,1995,2805,1895,2850
ENSMUSG00000023186,7083,13091,7258,13003,7516,9816,7640,10275
ENSMUSG00000061039,41,44,54,69,23,15,37,11
ENSMUSG00000025602,125,78,157,80,96,179,108,188
ENSMUSG00000049281,84,21,65,24,387,191,384,164
ENSMUSG00000040111,3061,1504,3048,1559,4867,5434,4594,4976
ENSMUSG00000032024,39,13,26,10,71,21,45,32
ENSMUSG00000015656,11422,16316,11676,16149,9590,10041,9133,9382
ENSMUSG00000032020,3625,1036,3732,926,478,1349,579,1331
ENSMUSG00000049313,295,269,365,342,326,283,265,278
ENSMUSG00000032018,2303,945,2497,1009,477,319,504,361
ENSMUSG00000037287,746,539,811,488,1305,731,1222,788
ENSMUSG00000059495,1051,4135,1119,4144,1213,3404,1137,3493
ENSMUSG00000032014,175,32,135,30,91,55,98,42
ENSMUSG00000032013,4,0,5,1,1,6,5,2
ENSMUSG00000032012,59,6,66,4,45,16,48,20
ENSMUSG00000053128,1446,424,1535,435,1237,493,1316,469
ENSMUSG00000032010,224,72,238,76,50,111,48,107
ENSMUSG00000097467,30,4,41,1,23,10,22,4
ENSMUSG00000032135,18,15,21,5,9,0,7,1
ENSMUSG00000034342,840,302,1095,265,1483,858,1350,838
ENSMUSG00000032109,606,158,554,204,417,460,446,459
ENSMUSG00000032119,249,529,254,541,258,265,210,298
ENSMUSG00000032120,864,306,943,295,804,717,791,574
ENSMUSG00000032123,1977,844,1956,851,1838,928,1779,908
ENSMUSG00000049932,1901,198,1673,186,1620,272,1727,304
ENSMUSG00000032126,1030,260,987,289,476,378,547,428
ENSMUSG00000032127,1934,1384,1842,1288,2492,2187,2275,2146
ENSMUSG00000032115,4348,2666,4359,2803,1466,2022,1699,2082
ENSMUSG00000032114,287,131,273,112,353,319,326,330
ENSMUSG00000032112,1088,791,1000,693,676,788,666,811
ENSMUSG00000009927,1190,783,1062,705,1155,554,1136,540
ENSMUSG00000043923,178,111,190,136,204,229,187,235
ENSMUSG00000094437,126,84,143,77,164,160,173,149
ENSMUSG00000060380,36,4,43,5,56,10,53,7
ENSMUSG00000063382,435,196,520,221,451,285,489,283
ENSMUSG00000032097,5018,3823,5725,3907,6619,4664,6150,4862
ENSMUSG00000048537,834,159,888,172,283,97,268,82
ENSMUSG00000032096,5675,4241,5990,4357,4102,3755,4191,4198
ENSMUSG00000002031,918,408,897,425,1965,660,1964,624
ENSMUSG00000002032,54,12,37,15,64,41,48,43
ENSMUSG00000002028,1162,496,1283,564,1529,1152,1628,1250
ENSMUSG00000038717,70,45,60,45,62,54,68,46
ENSMUSG00000059890,1588,1223,1689,1245,1856,1642,1777,1658
ENSMUSG00000070305,8,13,14,6,16,15,14,17
ENSMUSG00000048534,0,58,0,65,8,13,8,15
ENSMUSG00000032091,3,7,5,7,15,25,11,30
ENSMUSG00000091996,26,15,15,12,45,20,45,14
ENSMUSG00000032089,2294,8086,2314,8468,6654,5214,5479,5564
ENSMUSG00000059412,18,4,13,9,157,5,101,3
ENSMUSG00000043987,679,408,715,321,888,530,839,503
ENSMUSG00000032086,438,379,513,449,732,475,698,468
ENSMUSG00000042790,410,768,447,851,544,649,500,739
ENSMUSG00000035382,799,2086,812,2340,854,1103,878,1118
ENSMUSG00000032085,76,157,52,216,73,85,64,52
ENSMUSG00000034908,1851,2036,1837,1993,5027,2047,4632,1890
ENSMUSG00000003131,2207,1960,2226,1888,1654,1716,1624,1850
ENSMUSG00000034135,1162,2664,1200,2902,1117,1918,1097,1921
ENSMUSG00000032078,1124,436,1076,431,798,1101,728,1075
ENSMUSG00000032077,487,259,508,271,452,347,454,277
ENSMUSG00000032076,5183,3844,5608,3817,3410,4808,3277,5067
ENSMUSG00000044229,46,61,40,60,151,720,179,893
ENSMUSG00000063543,400,142,414,118,185,241,177,199
ENSMUSG00000032026,1655,1002,1655,1004,901,965,935,962
ENSMUSG00000042396,1630,1268,1681,1275,2025,1956,1989,2112
ENSMUSG00000042293,105,108,102,89,187,142,168,175
ENSMUSG00000066687,65,10,96,12,87,53,47,46
ENSMUSG00000032267,314,107,336,125,438,153,394,134
ENSMUSG00000032264,778,219,726,194,544,307,564,312
ENSMUSG00000040219,257,193,301,170,337,150,296,155
ENSMUSG00000058443,1358,875,917,641,1010,562,1228,709
ENSMUSG00000032067,305,299,313,272,694,528,613,532
ENSMUSG00000032066,61,313,47,256,200,428,156,453
ENSMUSG00000039217,249,989,209,1042,419,1133,414,1066
ENSMUSG00000000171,2065,1612,2016,1528,2075,1762,2041,1816
ENSMUSG00000039016,354,191,367,176,340,347,325,307
ENSMUSG00000059820,712,323,767,321,703,629,683,572
ENSMUSG00000000168,1535,654,1582,667,1021,935,1040,918
ENSMUSG00000032064,12,13,4,19,30,7,20,8
ENSMUSG00000032060,22,13,2,5,45,20,2,2
ENSMUSG00000037971,299,184,283,215,786,475,624,491
ENSMUSG00000037845,56,23,70,8,81,49,77,48
ENSMUSG00000032059,508,332,550,304,614,473,549,451
ENSMUSG00000032058,1220,428,1151,419,734,584,776,612
ENSMUSG00000037112,314,117,284,131,367,280,289,286
ENSMUSG00000060594,126,122,100,116,181,10,165,10
ENSMUSG00000078308,4,2,4,0,1,0,0,0
ENSMUSG00000032051,165,84,138,70,164,118,126,89
ENSMUSG00000032050,4142,1587,4905,1549,2871,1432,2968,1586
ENSMUSG00000035164,283,145,342,176,212,253,188,272
ENSMUSG00000053289,790,232,790,258,520,497,445,443
ENSMUSG00000034487,921,321,1059,385,1301,790,1254,740
ENSMUSG00000034218,466,379,553,478,351,253,397,262
ENSMUSG00000033054,934,428,995,440,622,404,703,390
ENSMUSG00000032047,1949,1295,2050,1301,2185,862,2383,815
ENSMUSG00000032030,1038,606,1093,620,790,620,891,646
ENSMUSG00000055069,209,254,207,238,127,226,130,245
ENSMUSG00000059830,50,19,34,16,50,19,35,22
ENSMUSG00000074345,1,108,1,127,1,3,2,4
ENSMUSG00000041268,688,95,746,78,540,144,492,165
ENSMUSG00000037493,74,38,61,17,149,23,138,20
ENSMUSG00000032279,1560,409,1598,378,373,407,471,435
ENSMUSG00000032281,106,3,83,11,10,1,5,2
ENSMUSG00000032285,14,9,27,12,9,4,14,1
ENSMUSG00000061559,881,445,954,443,634,569,650,594
ENSMUSG00000032293,1950,1357,2262,1401,1946,1335,1855,1507
ENSMUSG00000035878,49,13,48,20,64,18,64,26
ENSMUSG00000032301,2472,4382,2462,4620,1710,2432,1622,2475
ENSMUSG00000035594,1,153,0,178,1,1,1,6
ENSMUSG00000032307,752,563,858,446,1049,725,1010,759
ENSMUSG00000032309,703,440,764,463,571,518,523,540
ENSMUSG00000032311,13,5,9,6,18,11,8,8
ENSMUSG00000032314,999,883,1055,919,1029,684,1048,616
ENSMUSG00000034007,309,538,386,493,598,696,599,781
ENSMUSG00000032320,1456,1137,1464,1029,786,441,795,554
ENSMUSG00000032322,2452,7096,2372,7115,3372,8145,2984,8799
ENSMUSG00000032324,1957,1725,1935,1636,1821,2483,1707,2554
ENSMUSG00000074305,7261,2791,8008,3166,3162,2476,3137,2581
ENSMUSG00000076281,122,119,170,82,127,150,82,113
ENSMUSG00000032329,997,600,1070,589,1659,1199,1602,1253
ENSMUSG00000045620,29,10,29,2,0,1,0,0
ENSMUSG00000032911,762,179,839,244,21,27,29,22
ENSMUSG00000032733,374,303,336,281,511,654,518,661
ENSMUSG00000032288,765,146,725,112,598,287,534,299
ENSMUSG00000055334,181,94,177,112,107,134,116,128
ENSMUSG00000032290,1291,1175,1347,1281,729,991,791,1013
ENSMUSG00000042557,2221,948,2404,1031,1929,1212,1796,1324
ENSMUSG00000097334,14,12,16,14,17,9,15,8
ENSMUSG00000032295,1249,918,1273,934,1287,954,1240,901
ENSMUSG00000032298,207,87,193,74,349,177,303,158
ENSMUSG00000032299,762,523,702,598,792,630,770,668
ENSMUSG00000032300,1367,306,1391,335,736,1660,739,1567
ENSMUSG00000063849,364,113,417,115,391,407,354,409
ENSMUSG00000040722,2374,328,2464,353,2786,1746,2636,1668
ENSMUSG00000000088,2185,2113,2161,2190,2125,2217,1979,2075
ENSMUSG00000032305,818,193,888,175,595,556,566,503
ENSMUSG00000032306,402,675,430,681,512,736,457,700
ENSMUSG00000040188,3607,7275,3718,7210,5084,5132,5066,5106
ENSMUSG00000032308,235,165,257,130,287,287,271,260
ENSMUSG00000032312,4607,7363,4633,7559,4115,7734,4129,7710
ENSMUSG00000038957,851,525,897,599,829,573,854,604
ENSMUSG00000032316,1075,820,896,790,1127,1015,1125,945
ENSMUSG00000004661,185,356,191,378,349,297,298,321
ENSMUSG00000055720,1011,2502,922,2497,1529,1997,1658,1865
ENSMUSG00000038264,5,77,0,80,2,8,2,2
ENSMUSG00000036986,1871,10417,1832,11038,4037,7719,4031,8183
ENSMUSG00000032333,309,1357,256,1320,669,1459,582,1648
ENSMUSG00000035914,679,153,647,140,57,52,70,41
ENSMUSG00000032336,14744,11084,14977,11123,8812,13179,9208,14144
ENSMUSG00000074269,29,18,15,24,8,13,10,22
ENSMUSG00000032340,51,117,69,123,79,70,92,77
ENSMUSG00000025236,1221,578,1214,611,442,599,453,586
ENSMUSG00000025235,272,250,278,256,298,317,269,339
ENSMUSG00000025234,3022,3104,3153,3140,2562,2770,2492,3124
ENSMUSG00000049526,64,121,42,87,27,59,14,48
ENSMUSG00000025232,25718,19515,24956,18532,37805,19701,34974,19162
ENSMUSG00000025237,428,262,445,239,499,567,441,607
ENSMUSG00000032294,40070,42392,40365,43270,20223,15204,21203,15378
ENSMUSG00000051705,293,221,291,188,241,208,292,223
ENSMUSG00000039585,834,875,911,967,832,544,841,641
ENSMUSG00000047766,232,100,227,107,296,160,275,169
ENSMUSG00000034485,393,3453,395,3596,626,222,526,211
ENSMUSG00000052143,1,139,0,132,0,4,1,8
ENSMUSG00000032280,1343,3379,1421,3548,1884,1229,1859,978
ENSMUSG00000007892,7934,6061,6766,5353,7427,5213,7468,5329
ENSMUSG00000032254,2341,247,2488,258,3255,289,3378,359
ENSMUSG00000032252,541,173,600,193,480,497,547,482
ENSMUSG00000032249,2550,2831,2491,2986,3039,2020,3012,1941
ENSMUSG00000041729,54,15,56,25,347,180,316,135
ENSMUSG00000032244,1524,1045,1637,1030,1621,1266,1836,1369
ENSMUSG00000032245,2623,1219,2646,1313,3640,2549,3682,2450
ENSMUSG00000032246,6,7,5,8,27,33,26,27
ENSMUSG00000032405,1735,1809,1783,1884,2309,2103,2202,2093
ENSMUSG00000058444,631,335,663,347,918,771,907,728
ENSMUSG00000032403,60,16,51,9,54,82,60,86
ENSMUSG00000037257,1846,1402,1877,1461,3102,3037,2703,2884
ENSMUSG00000032402,728,151,752,163,461,714,512,722
ENSMUSG00000036867,339,178,369,198,11,13,14,26
ENSMUSG00000032400,983,356,987,371,556,154,602,187
ENSMUSG00000032399,21143,9847,21072,10183,20179,10113,19524,10297
ENSMUSG00000032398,752,314,738,349,546,779,568,700
ENSMUSG00000004936,3312,4917,3137,4896,2101,2819,2015,2874
ENSMUSG00000035337,152,26,160,55,143,65,119,45
ENSMUSG00000032397,921,180,921,125,257,153,273,129
ENSMUSG00000032396,739,294,837,298,564,642,548,568
ENSMUSG00000036466,23,4,21,5,15,8,13,8
ENSMUSG00000004771,6207,3705,6174,3564,4607,4087,4604,4146
ENSMUSG00000053641,1148,90,1432,96,817,731,794,743
ENSMUSG00000034263,1387,776,1503,753,1014,934,1030,897
ENSMUSG00000033629,1224,312,1360,315,690,814,719,828
ENSMUSG00000032393,3110,1590,3619,1689,3304,2391,3018,2657
ENSMUSG00000032392,108,6,117,4,98,70,102,55
ENSMUSG00000015357,689,426,742,398,747,622,776,625
ENSMUSG00000041837,434,184,442,180,362,356,392,314
ENSMUSG00000059183,376,184,367,174,333,255,350,237
ENSMUSG00000032388,2531,2018,2438,1858,3215,2367,3090,2393
ENSMUSG00000066510,17,13,9,8,20,68,21,92
ENSMUSG00000050721,10696,16933,9406,16441,9308,22545,9005,22571
ENSMUSG00000041064,370,20,411,28,270,15,321,8
ENSMUSG00000040652,1031,568,956,575,1812,673,1596,647
ENSMUSG00000040524,436,179,584,199,429,342,441,344
ENSMUSG00000032386,886,557,1011,547,821,772,719,845
ENSMUSG00000040204,3364,1186,3576,1174,1900,325,2238,369
ENSMUSG00000032384,661,372,675,382,784,730,811,760
ENSMUSG00000032383,2112,1999,2221,1884,2030,2415,2000,2310
ENSMUSG00000032382,5800,5110,5690,5009,4148,6457,4199,6473
ENSMUSG00000032381,3604,1758,3602,1660,2396,2692,2324,2865
ENSMUSG00000038664,1629,1736,1825,2043,3378,1483,3304,1672
ENSMUSG00000032376,1150,884,1151,868,1432,1714,1361,1637
ENSMUSG00000032373,8,21,5,26,2,1,1,2
ENSMUSG00000032375,356,70,385,50,844,282,811,314
ENSMUSG00000053040,594,432,545,370,3202,2977,2816,2796
ENSMUSG00000036943,8663,10682,9838,11106,13089,12297,13032,13239
ENSMUSG00000036781,1365,793,1164,662,1102,1207,1232,1189
ENSMUSG00000032370,1067,685,999,655,599,938,555,981
ENSMUSG00000032366,3114,1292,2785,1220,2111,1683,2006,1606
ENSMUSG00000052698,13,3,15,3,13,2,26,1
ENSMUSG00000035284,1204,271,1312,367,1713,716,1844,790
ENSMUSG00000032238,180,52,209,53,592,263,648,255
ENSMUSG00000032235,351,60,403,69,282,252,316,319
ENSMUSG00000032231,22984,19711,21192,18320,11600,8945,11644,8547
ENSMUSG00000011958,4000,2752,4332,2686,4066,4102,3738,4306
ENSMUSG00000033543,777,362,799,292,758,513,783,588
ENSMUSG00000032220,9863,14088,9449,14656,2583,5944,2474,6303
ENSMUSG00000032218,2244,397,2259,434,3480,147,3460,112
ENSMUSG00000032217,1788,1237,1948,1297,1809,1704,1878,1925
ENSMUSG00000032212,1320,815,1514,813,927,1189,1055,1369
ENSMUSG00000042444,2394,1126,2831,1225,2705,1818,2643,1988
ENSMUSG00000074213,20,3,13,7,27,15,21,7
ENSMUSG00000054693,9083,3731,10141,4014,4922,3322,5181,3663
ENSMUSG00000032207,24,11,13,18,12,13,11,25
ENSMUSG00000032204,114,78,124,78,19,98,20,120
ENSMUSG00000032199,1850,899,1851,948,1522,1380,1440,1380
ENSMUSG00000032232,957,260,941,320,321,320,337,334
ENSMUSG00000032228,1503,716,1648,743,2520,2403,2384,2311
ENSMUSG00000038535,540,183,633,190,430,386,374,384
ENSMUSG00000032221,174,28,212,29,196,18,182,21
ENSMUSG00000090626,98,81,129,70,102,72,106,63
ENSMUSG00000037674,1168,270,1323,261,1598,809,1614,835
ENSMUSG00000032216,28,9,47,8,56,16,45,8
ENSMUSG00000086158,46,39,39,40,132,64,104,50
ENSMUSG00000034563,14,4,13,1,17,12,25,16
ENSMUSG00000079469,413,182,427,214,487,406,459,422
ENSMUSG00000032202,147,41,173,31,211,58,191,69
ENSMUSG00000032215,626,754,687,766,462,416,429,444
ENSMUSG00000034858,297,107,295,73,2679,436,2564,452
ENSMUSG00000007656,1346,643,1282,633,1126,674,1200,685
ENSMUSG00000034593,7506,3699,7977,3734,17462,5342,16976,5240
ENSMUSG00000032192,168,41,133,48,126,20,147,28
ENSMUSG00000042688,2429,2500,2592,2732,1381,2138,1394,2210
ENSMUSG00000042487,589,285,541,284,314,337,329,357
ENSMUSG00000058587,4207,5790,4499,6129,4185,3843,4096,4099
ENSMUSG00000032184,39,60,26,49,4,15,7,20
ENSMUSG00000032352,26,24,37,13,63,18,76,31
ENSMUSG00000032350,1649,68,1975,95,517,330,564,322
ENSMUSG00000032349,2766,976,3037,965,2045,1362,2118,1406
ENSMUSG00000001366,435,123,442,117,399,341,401,309
ENSMUSG00000009828,293,72,303,57,422,185,482,174
ENSMUSG00000065037,4,12,7,9,33,54,24,52
ENSMUSG00000097574,23,4,18,6,31,12,34,11
ENSMUSG00000032344,815,1117,813,1172,318,634,372,683
ENSMUSG00000032342,451,220,524,204,371,410,340,356
ENSMUSG00000037742,95322,58795,97766,60672,100070,65080,96393,63223
ENSMUSG00000049624,1265,878,1458,873,2277,1023,2188,1004
ENSMUSG00000046186,576,205,632,213,598,121,671,144
ENSMUSG00000032330,1618,1441,1451,1322,1166,957,1183,1038
ENSMUSG00000032328,4612,4910,5104,5187,4013,4003,3910,4296
ENSMUSG00000034252,1322,361,1456,380,814,899,813,1008
ENSMUSG00000033577,147,22,139,26,137,47,121,40
ENSMUSG00000032251,73,18,80,15,127,93,112,108
ENSMUSG00000032253,1538,3524,1936,4141,1951,1721,1825,2143
ENSMUSG00000066456,877,4885,889,4777,474,1406,517,1548
ENSMUSG00000032258,143,46,171,61,119,64,132,82
ENSMUSG00000032261,1527,309,1556,301,2653,1869,2235,1912
ENSMUSG00000038379,699,107,744,116,585,66,629,76
ENSMUSG00000032263,139,33,124,69,110,83,106,112
ENSMUSG00000032265,1215,10834,1205,11188,3073,7019,2844,7747
ENSMUSG00000035941,1091,240,1208,222,497,524,505,554
ENSMUSG00000035274,3,4,1,2,1,1,0,0
ENSMUSG00000034973,654,240,674,255,681,580,695,568
ENSMUSG00000056131,267,86,278,98,195,146,168,126
ENSMUSG00000032417,144,21,129,12,141,43,128,52
ENSMUSG00000032418,305,82,381,89,70,46,115,38
ENSMUSG00000032872,2111,1437,2089,1548,2223,1753,2037,1787
ENSMUSG00000056919,456,239,504,249,538,356,511,369
ENSMUSG00000032420,37,4,29,2,1,0,1,1
ENSMUSG00000032422,1006,243,1006,260,1321,696,1291,660
ENSMUSG00000032423,2851,632,3202,671,1042,884,1178,892
ENSMUSG00000097195,263,33,280,49,98,148,104,118
ENSMUSG00000032425,148,407,162,392,354,262,328,258
ENSMUSG00000097073,12,8,23,11,9,17,11,20
ENSMUSG00000079427,296,568,268,538,512,974,483,916
ENSMUSG00000099974,60,115,67,96,38,183,26,175
ENSMUSG00000102037,10,13,5,4,7,19,4,14
