"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"ENSMUSG00000033004",2353.58965235123,1.41873867024945,0.0770192188140506,18.4205798513063,8.98359817810758e-76,1.02088566229076e-74
"ENSMUSG00000022122",684.391598641408,0.791432334254163,0.18569341174852,4.26203776860958,2.02571195461653e-05,4.11283897659903e-05
"ENSMUSG00000022120",174.994675904307,-1.70650872092938,0.216314230754448,-7.88902660253795,3.04552604295268e-15,1.08012241959491e-14
"ENSMUSG00000022119",773.928103869474,-0.332031165973639,0.10595640458007,-3.13365829361194,0.0017264177224454,0.00293390271925414
"ENSMUSG00000053253",831.784747385605,0.504109874342381,0.0973492331481773,5.17836512974955,2.23838808176524e-07,5.25916209154712e-07
"ENSMUSG00000060143",1973.15682271191,0.449948574725104,0.0906151043850567,4.9654919869993,6.85271226036437e-07,1.55662099830479e-06
"ENSMUSG00000022114",373.489301830165,0.77019745473762,0.136447554234408,5.64464096889907,1.65526307503346e-08,4.1935786948501e-08
"ENSMUSG00000058126",5100.85183247652,1.05116822171809,0.0579302105891112,18.145423795778,1.39554532241524e-73,1.55345902867609e-72
"ENSMUSG00000089726",64.4176713814279,-3.48648576076958,0.429152966849026,-8.12410965341434,4.50658207031625e-16,1.64776429975388e-15
"ENSMUSG00000022130",231.013178739812,0.252353678971568,0.174904435111423,1.44280891911521,0.149074305961975,0.191139299023427
"ENSMUSG00000022131",269.60173017844,-0.831102081149526,0.169006727284484,-4.91756804301971,8.76260033475147e-07,1.97861601139727e-06
"ENSMUSG00000032849",397.810098682042,-0.98449693066003,0.142665071876605,-6.90075656017299,5.17263096706951e-12,1.59196012781056e-11
"ENSMUSG00000042156",22.4324088123755,-0.183755769344573,0.584234122287325,-0.314524199006306,0.753122940171146,0.793551416050759
"ENSMUSG00000022136",2165.27979665582,-0.357120211329862,0.0707339589705025,-5.04878019734183,4.44639959599374e-07,1.02545602468931e-06
"ENSMUSG00000042104",24.6323846090431,-1.48471941410925,0.609806126856438,-2.43474007347713,0.0149024904272965,0.0224523445164862
"ENSMUSG00000022139",4481.33881958913,1.13171780510311,0.0649962352743399,17.4120516415496,6.68448779517427e-68,6.98746583129945e-67
"ENSMUSG00000051615",2406.19347774649,-0.769034482788902,0.0696647290142941,-11.0390795122609,2.4755614168481e-28,1.31808909962537e-27
"ENSMUSG00000030662",3224.56564078099,-0.246078995072645,0.0712362635050234,-3.45440626676457,0.000551505889669542,0.000983835492760836
"ENSMUSG00000025555",21.9659322147304,0.271363157664443,0.519181692672141,0.522674742762561,0.601200617526147,0.656279230585769
"ENSMUSG00000063410",2722.69108016472,-0.260622817444778,0.0690794497605018,-3.77279810925472,0.00016142690984352,0.000302672434791196
"ENSMUSG00000025558",39.1213736611627,-1.76751614021655,0.495743200218918,-3.56538655383678,0.000363320296015143,0.000659686830070703
"ENSMUSG00000041765",924.115412415086,0.319470708279574,0.104033546243529,3.07084320216996,0.00213455213365459,0.00358372387314069
"ENSMUSG00000050350",18.2290020994531,-0.103881710318292,0.880626321548128,-0.11796344008395,0.906096626157993,0.922749292459669
"ENSMUSG00000051212",653.329481657401,-3.07963045024361,0.148163610660546,-20.7853361329002,5.87513678349328e-96,8.17492643774293e-95
"ENSMUSG00000025544",3666.94115806553,0.190064251517768,0.0631040492351185,3.0119184715011,0.00259602310204982,0.00431682343738812
"ENSMUSG00000025545",177.826793284551,-0.168984512843496,0.214640631135316,-0.787290420968633,0.431111875865761,0.493447950047246
"ENSMUSG00000041650",460.72162987385,0.44134408769254,0.126735104517098,3.48241388504161,0.000496915016108766,0.000890125410775293
"ENSMUSG00000041625",216.102465887755,0.0253113085863736,0.180516226901953,0.140216251030559,0.88848913228375,0.908660629121225
"ENSMUSG00000041594",138.028389912067,0.12217782309413,0.212381913175284,0.575274143016566,0.565105905968452,0.622904784829058
"ENSMUSG00000097312",16.3534309039118,0.252257059601563,0.648053004229038,0.389253746152543,0.697088448598933,0.743961022822945
"ENSMUSG00000025899",167.762611254149,-0.865906786581881,0.209247200149201,-4.13820010955683,3.50041015465521e-05,6.95362252010583e-05
"ENSMUSG00000025898",498.826602601784,0.170462528163878,0.124927149876315,1.36449545461212,0.172411683799891,0.21818022597272
"ENSMUSG00000025894",221.427581945997,-1.34239612591088,0.190916043386719,-7.03134268916167,2.04555406248058e-12,6.41052891002111e-12
"ENSMUSG00000025893",61.7151191610163,-0.712404054459229,0.344813271200211,-2.06605752725098,0.0388230480072563,0.0550663756025451
"ENSMUSG00000041124",902.914096419522,0.33355746529459,0.0980256019825334,3.40275865231641,0.000667091795061043,0.00118060917885097
"ENSMUSG00000025888",7883.6260656276,3.44017055016418,0.0625085512274473,55.0351989065716,0,0
"ENSMUSG00000033538",3538.0088755738,4.99551098868121,0.0830909109816438,60.1210280362049,0,0
"ENSMUSG00000025887",82.3416333834499,8.22222330742015,1.05383371943219,7.80220176656551,6.08362753778116e-15,2.1328462389595e-14
"ENSMUSG00000047193",105.080335994433,0.579859290264541,0.25387210453334,2.28406067429275,0.0223679653478884,0.0329158672211053
"ENSMUSG00000032002",866.678982401768,0.0558206334202253,0.0974431690494511,0.572853222701501,0.566744079123321,0.624380760346736
"ENSMUSG00000050578",16036.5690081162,6.84452775109089,0.180901098076511,37.8357446354253,0,0
"ENSMUSG00000049723",7227.4119459362,0.822990873012648,0.0593405734871668,13.8689403328842,9.77096180442762e-44,7.16823401738999e-43
"ENSMUSG00000005800",46.3166413627513,0.433190723548393,0.435834801288076,0.993933302866432,0.320255339697451,0.379607914721361
"ENSMUSG00000070323",36.8275127363164,0.388938856864884,0.670261801141003,0.580279013667173,0.56172647739792,0.619670602224643
"ENSMUSG00000074516",144.628547696153,0.361109084304464,0.217990048443224,1.65653930940116,0.0976126513082558,0.129739251998863
"ENSMUSG00000050912",3038.98466558616,-0.376841529135536,0.067177304114869,-5.60965543498382,2.02729843747587e-08,5.10924901036634e-08
"ENSMUSG00000057367",600.228756573764,1.1194204712626,0.118568120183029,9.44115896865526,3.68678629100955e-21,1.61150522590969e-20
"ENSMUSG00000032000",1186.81028226851,1.38867855686484,0.0936492742467326,14.8285031361393,9.58464360146092e-50,7.86556302890532e-49
"ENSMUSG00000079083",283.965677342185,-0.0406741605698827,0.168794944906593,-0.240967883205216,0.809580008639532,0.843458439949489
"ENSMUSG00000079084",264.458094950679,-0.0507036035793343,0.175483658244024,-0.288936326531483,0.772630104167406,0.810966959558161
"ENSMUSG00000031925",342.474011189292,0.689401703713466,0.154670931076711,4.45721570895275,8.30310424254444e-06,1.7387922145382e-05
"ENSMUSG00000031918",1340.46610595624,0.241314256171545,0.0845782594019878,2.85314758045108,0.00432885128702479,0.00702204723671132
"ENSMUSG00000031922",533.89192466893,-1.57361135207151,0.130481469956874,-12.0600369737681,1.71705812997694e-33,1.02296474603716e-32
"ENSMUSG00000037808",923.476691161237,-0.420980395807025,0.0969014991886801,-4.34441571422255,1.39646846561979e-05,2.87394816679648e-05
"ENSMUSG00000032009",322.349908706207,2.73408813415821,0.179083781001163,15.267089620698,1.26703054160481e-52,1.08159669205979e-51
"ENSMUSG00000037419",3436.98667270695,1.72372238346522,0.065895723249184,26.1583346911147,7.92242053820641e-151,1.67024364309695e-149
"ENSMUSG00000004096",3342.96027097941,1.25210095376281,0.0640107456210003,19.5607931389573,3.33843975669472e-85,4.193308031403e-84
"ENSMUSG00000013076",50.7565288446638,-2.27465073917169,0.400491206895433,-5.6796521371956,1.34968953757801e-08,3.44169457932996e-08
"ENSMUSG00000036912",71.0646967088661,4.81382471884841,0.473281356962615,10.1711691112073,2.66688221322019e-24,1.27763450482618e-23
"ENSMUSG00000049307",91.6304426525773,0.0497760386186117,0.274296756158711,0.181467835477466,0.856000377555143,0.88133624337113
"ENSMUSG00000031931",507.845793580103,-0.187354476901596,0.126374136585814,-1.48253813607165,0.138197164104137,0.178527242219528
"ENSMUSG00000031928",529.344057286299,-1.21982825655128,0.124070066002778,-9.83176922404451,8.21624692515297e-23,3.7981565243149e-22
"ENSMUSG00000090023",299.617501768086,0.587966632811898,0.147458922840466,3.98732488672803,6.6822491783233e-05,0.00012955845558158
"ENSMUSG00000031934",224.546110780059,-0.306874510925506,0.177649868297898,-1.72741198102614,0.0840937004259593,0.113091216756259
"ENSMUSG00000031935",978.905347493393,-0.00350432653713579,0.098990794512696,-0.0354005294571743,0.971760362532141,0.977850945760547
"ENSMUSG00000031938",1046.83843110373,0.0285747479596994,0.1031937925163,0.276903748403139,0.781854014290439,0.818795072473587
"ENSMUSG00000031939",315.030590216771,-1.10655834820992,0.165519042490142,-6.6853839386838,2.30319995834382e-11,6.84131239998568e-11
"ENSMUSG00000064797",8.97850172101491,-2.20300294835533,0.941331892754877,-2.34030416403727,0.019268040530935,0.0285994632652482
"ENSMUSG00000065265",7.83617322550491,-0.885739083309732,0.96362276006662,-0.919176175590224,0.358003430432067,0.418934324547042
"ENSMUSG00000046111",527.372901630353,-0.997922953264193,0.126189528645419,-7.90812806717318,2.61287946943272e-15,9.29576408968919e-15
"ENSMUSG00000058173",39.6142882819349,-2.17256816491841,0.458078940139759,-4.74278115526457,2.10803961222083e-06,4.61762813780681e-06
"ENSMUSG00000043885",703.015566894904,-1.44664738353214,0.119741405317182,-12.0814298086793,1.32397221637095e-33,7.92547995488214e-33
"ENSMUSG00000074505",564.645093042517,-1.95328486415167,0.129474699417926,-15.0862282201308,1.99526846688268e-51,1.67921686900348e-50
"ENSMUSG00000090602",302.094745630435,-1.05768415804841,0.166342420119147,-6.35847523013562,2.03766234319142e-10,5.75239980247658e-10
"ENSMUSG00000001774",959.976924761926,0.119889368846836,0.0944590829640949,1.2692201224567,0.204362566107754,0.254194717458026
"ENSMUSG00000074501",3.31757935425624,0.641699595751211,1.33120765551353,0.482043198214381,0.629775259383902,0.682829053962303
"ENSMUSG00000074500",17.8061302513763,-0.377835359311463,0.643285505563227,-0.587352514620472,0.556966978488278,0.615156124639865
"ENSMUSG00000057551",199.548322804202,-0.375821994140155,0.206046874026328,-1.8239635806954,0.0681575783185132,0.0929576729778634
"ENSMUSG00000091460",255.318717310457,0.663794001704674,0.19724197393943,3.36537902377977,0.000764385784515228,0.00134424984966777
"ENSMUSG00000045519",147.888932668258,-0.485418533104998,0.220295337972064,-2.20348981314599,0.0275602441811585,0.0400019631294214
"ENSMUSG00000063108",334.810125460531,0.448697899195735,0.163456018832861,2.74506807641353,0.00604983464709269,0.00962547062451299
"ENSMUSG00000059475",454.146818605512,0.173968071281808,0.12835302650948,1.35538737194451,0.175294170860566,0.221090633667727
"ENSMUSG00000060510",379.546630321729,-1.59866622864394,0.162435920156184,-9.84182702389224,7.43482193748726e-23,3.44200647405372e-22
"ENSMUSG00000058192",127.000567402274,-1.08926615640639,0.254508383955291,-4.27988319865224,1.86991421862979e-05,3.8051569320606e-05
"ENSMUSG00000066892",150.295575497296,0.541345429350482,0.230162391822033,2.35201513620463,0.0186720151157595,0.0277674439252649
"ENSMUSG00000084786",2246.81376303553,0.830623959640714,0.0739368527986793,11.2342347313916,2.76882563130813e-29,1.50691018604397e-28
"ENSMUSG00000032171",636.250827682151,-0.108295901202022,0.108519704528512,-0.997937671066625,0.318309583464633,0.377730589759083
"ENSMUSG00000038884",398.937466068577,2.27533619148916,0.140995965203606,16.1375978965317,1.38840491589987e-58,1.30142176360884e-57
"ENSMUSG00000038742",22.3656455997768,-1.11803254426823,0.638615843519888,-1.75071219358718,0.0799954979825564,0.107950821253831
"ENSMUSG00000004100",253.352165044191,-2.59259854237412,0.191888182723198,-13.5109859584943,1.34705208932438e-41,9.5630007452433e-41
"ENSMUSG00000070319",1087.43881615742,-0.790858497190995,0.0950873138652203,-8.31718201980111,9.00793596809181e-17,3.37946021954505e-16
"ENSMUSG00000004099",2926.38951309152,-0.125245020978885,0.068208311877055,-1.83621346918303,0.0663260913921103,0.0906869355282669
"ENSMUSG00000043895",5076.80087936844,2.62877629587329,0.06221590710134,42.2524788008221,0,0
"ENSMUSG00000003299",1402.98096487256,1.04799297708768,0.0865484532535717,12.1087429952936,9.49378975959422e-34,5.69400043866851e-33
"ENSMUSG00000037405",3543.08507596918,1.93251717087838,0.0710086463561457,27.2152374400406,4.28826287467809e-163,9.79961970430543e-162
"ENSMUSG00000032174",17.5871464878628,1.70453437486252,0.630894064478224,2.70177589366329,0.00689702327652469,0.0108697989544323
"ENSMUSG00000079677",271.350541621092,-1.05442337684349,0.165892988676972,-6.3560454558852,2.07013791241791e-10,5.83881465702916e-10
"ENSMUSG00000010205",1835.65659827256,0.173704722589682,0.0802945620955195,2.16334354477257,0.0305147662533378,0.043964152990169
"ENSMUSG00000032175",3949.52077658596,2.58194826463309,0.0685669559176493,37.6558683418012,0,0
"ENSMUSG00000019471",3755.92078550705,0.491424838505979,0.0668994008792559,7.34572854236665,2.04641331641949e-13,6.72984085123982e-13
"ENSMUSG00000032177",577.7600264856,0.636782396458373,0.120670004377785,5.27705621410917,1.3127562574954e-07,3.14574179345864e-07
"ENSMUSG00000097439",30.8219802766491,2.13976825395185,0.472692316617367,4.52676757952031,5.9892749229822e-06,1.26952758734777e-05
"ENSMUSG00000003308",2430.6356715591,2.40878082408596,0.0716877532559091,33.6010087453453,1.62156610011319e-247,5.72024571034296e-246
"ENSMUSG00000002820",404.151804857159,1.16923743818167,0.141239218025134,8.27841908593403,1.24821267737044e-16,4.66607980857016e-16
"ENSMUSG00000035047",409.923902283919,-0.387137040271777,0.137210670138295,-2.82147911588495,0.00478027498702664,0.00771236584160456
"ENSMUSG00000096472",1123.30816047944,1.90693840879982,0.0893352034600584,21.3458786115868,4.2588311182794e-101,6.13732360117525e-100
"ENSMUSG00000057193",2355.66054805472,1.73175799453494,0.0728082857141961,23.7851774361621,4.7549680544961e-125,8.19071044655497e-124
"ENSMUSG00000032178",1208.91608770513,0.480467916964929,0.0910567750949752,5.27657515285145,1.31620549093998e-07,3.15280056676384e-07
"ENSMUSG00000002825",106.072118375791,0.083402573489262,0.259783028988224,0.321047043812253,0.748174740519438,0.789067902604423
