Geneid,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,gene
ENSMUSG00000018548,403.531652934087,-1.52804147980803,0.145772049104267,-10.4824037886376,1.04064520201699e-25,7.502590595773611e-25,Trim37
ENSMUSG00000046442,125.934263793867,0.553699013361847,0.281360485600162,1.96793452421284,0.0490755718262067,0.0739469842353009,Ppm1e
ENSMUSG00000007646,74.753363253211,-1.53462344436125,0.347100108926914,-4.42127041995363,9.81222816700414e-06,2.47539349990719e-05,Rad51c
ENSMUSG00000010342,42.9673383494275,3.58502918274213,0.500781648767347,7.15886692646692,8.13466022191022e-13,3.45440318613027e-12,Tex14
ENSMUSG00000018401,582.105879465259,-0.397907226946443,0.11920324696887,-3.33805694949195,0.000843664559546,0.0016999535445205,Mtmr4
ENSMUSG00000020485,554.55568365243,-0.176098952828822,0.115351124111289,-1.52663404180548,0.126852037141265,0.172839523568715,Supt4a
ENSMUSG00000084796,57.8586669356264,0.971026338206003,0.34000780800595,2.85589423343187,0.0042915807008279,0.0078160944032095,Mir142hg
ENSMUSG00000065420,20.9385282202371,1.33373507655797,0.568169474614757,2.34742473178851,0.0189036921110895,0.030888692106886,Mir142b
ENSMUSG00000034156,254.938134349697,1.94867783633851,0.199178853404791,9.78355785781242,1.32470224969108e-22,8.61779027162672e-22,Bzrap1
ENSMUSG00000034121,109.783797214022,-0.293770830519701,0.239125827612686,-1.22851986944515,0.219251875218983,0.280115408423519,Mks1
ENSMUSG00000020483,1591.03802671833,-0.190762917811983,0.0799876663894584,-2.38490415363742,0.0170835715886342,0.0281311725186674,Dynll2
ENSMUSG00000018379,3047.56613978234,-0.0318875759971166,0.0659687478934338,-0.483373976547621,0.628830222399557,0.69071492633187,Srsf1
ENSMUSG00000018377,1147.60492456313,0.195943718649778,0.0880690126946061,2.22488833080536,0.0260887355843231,0.0415396358197684,Vezf1
ENSMUSG00000018378,365.851115839804,0.385309766289093,0.145453138143891,2.64903027329614,0.0080723100338663,0.0140363147117618,Cuedc1
ENSMUSG00000023723,786.750859710482,0.478087938479929,0.100761669379326,4.74474015193343,2.08774160909614e-06,5.62616487426533e-06,Mrps23
ENSMUSG00000069769,254.581554199737,-0.0498927238679164,0.175313118990523,-0.284592072488389,0.775956685450432,0.821039658003683,Msi2
ENSMUSG00000087574,12.9098976893467,0.380721757985589,0.785732955580635,0.484543451157965,0.62800023504823,0.689984816942357,C030037D09Rik
ENSMUSG00000018428,216.628839208431,-0.0565880993207179,0.176783269136859,-0.320098726519813,0.748893491006171,0.798022352451757,Akap1
ENSMUSG00000000278,11962.1263473714,0.159970916948377,0.0529892275122401,3.01893279933973,0.0025366679143046,0.0047669106078687,Scpep1
ENSMUSG00000033983,63.4239266716126,0.593028717525006,0.314362214638631,1.88645037447236,0.059234289754871,0.087682152553221,Coil
ENSMUSG00000085152,25.5281717705672,2.73531033976533,0.644408847254729,4.24468154249919,2.18904081817261e-05,5.3385312884081e-05,Gm11496
ENSMUSG00000000275,10380.1089229378,1.01544194582615,0.0620712348224791,16.3592999032526,3.7339578515167104e-60,5.42463505505147e-59,Trim25
ENSMUSG00000000276,303.68465786242,0.582062115622045,0.161528107037511,3.60347264818052,0.0003139938029335,0.0006686183292189,Dgke
ENSMUSG00000020553,931.964818849418,0.140267666959427,0.102626287621691,1.36678106760026,0.171693938737972,0.225994214281212,Pctp
ENSMUSG00000003948,1757.67163110983,-0.499941313637466,0.0803786385684977,-6.21982808543618,4.97699893085566e-10,1.7868967205018802e-09,Mmd
ENSMUSG00000020546,115.921399634503,-1.29703685108684,0.242507913065804,-5.34843104577328,8.87199646628314e-08,2.69277779319592e-07,Stxbp4
ENSMUSG00000020544,45.0204070870449,1.01456863619191,0.392620632107716,2.58409404199002,0.0097635168419799,0.0167440001109693,Cox11
