Condition1,Condition2,Reaction,MeanFluxCond1,MeanFluxCond2,Log2MeanFluxRatio,P,Padj
naive,ccr2_depleted,NACHEXA2ly,0.0539279176465131,0.017641493899157843,1.6120595922974383,0.0,0.0
naive,ccr2_depleted,NACHEXA3ly,0.05193713930258302,0.014195155741918144,1.8713678749137217,0.0,0.0
naive,ccr2_depleted,NACHEXA4ly,0.05193713930258302,0.01419515574191814,1.8713678749137221,0.0,0.0
naive,ccr2_depleted,NACHEXA7ly,0.04646216242629254,0.0035294709992043467,3.7185324289611184,0.0,0.0
naive,ccr2_depleted,NACHEXA8ly,0.04646216242629253,0.0035294709992043467,3.718532428961118,0.0,0.0
naive,ccr2_depleted,NADHtpu,523.2211474396057,169.16742367208977,1.6289690750606443,0.0,0.0
naive,ccr2_depleted,NADHtru,462.4988843947084,47.904022095693094,3.271231188608112,0.0,0.0
naive,ccr2_depleted,NADPHtru,1.927712540916475,0.8620689419781803,1.1610147787238236,0.0,0.0
naive,ccr2_depleted,NADPHtxu,0.16042755897398506,0.03111400186356626,2.366286125324271,0.0,0.0
naive,ccr2_depleted,NADPN,0.06059363823709878,0.031867824442331626,0.9270657998752888,0.0,0.0
naive,ccr2_depleted,NADPtru,1.9277125409164748,0.8620689419781803,1.1610147787238236,0.0,0.0
naive,ccr2_depleted,NADPtxu,0.16042755897398533,0.03111400186356626,2.3662861253242737,0.0,0.0
naive,ccr2_depleted,NADtru,462.4988843947078,47.90402209569306,3.271231188608111,0.0,0.0
naive,ccr2_depleted,NAGA2ly,0.16448842600226873,0.08124585956906026,1.0176198765609192,0.0,0.0
naive,ccr2_depleted,NAGLCAly,0.16448842600226873,0.08124585956906023,1.01761987656092,0.0,0.0
naive,ccr2_depleted,NAHCO3_HCLt,-531.3403232570973,-221.6264097982118,1.2615063943090943,0.0,0.0
naive,ccr2_depleted,NaKt_1,0.049275484138300275,0.09619621100719396,-0.965110023983058,0.0,0.0
naive,ccr2_depleted,NAt,-347.55390834759487,-366.9264672666776,-0.07825420476475939,0.0,0.0
naive,ccr2_depleted,NAt5,161.52827602613067,535.3856090183264,-1.7287916250798883,0.0,0.0
naive,ccr2_depleted,NAtx,0.041358240739677,0.03577868547569064,0.20907443574380916,6.123809975260744e-168,7.062144727366889e-168
naive,ccr2_depleted,NBAHH_ir,0.05276336541994765,0.009472105024405299,2.477779604909395,0.0,0.0
naive,ccr2_depleted,NCKt,226.85900441893918,360.8076167843613,-0.6694338709091435,0.0,0.0
naive,ccr2_depleted,NCNt,-129.76317980635758,-180.17667138644202,-0.4735311504945987,0.0,0.0
naive,ccr2_depleted,NDP7er,0.9302892839768131,0.7165343989943815,0.37664344206059763,0.0,0.0
naive,ccr2_depleted,NDP7ex,0.049811201053082566,0.048081530767388324,0.050987370116145,1.2610035618833513e-24,1.2990035875538255e-24
naive,ccr2_depleted,NDP7g,3.6855284396522863,1.2522512072154448,1.5573474887203045,0.0,0.0
naive,ccr2_depleted,NDP8ex,0.049811201053082566,0.048081530767388324,0.050987370116145,1.2610035618833513e-24,1.2990035875538255e-24
naive,ccr2_depleted,NDPK10,-485.9741916275619,-431.1660649514221,0.1726360645962441,1.76146825154347e-235,2.0973343897468478e-235
naive,ccr2_depleted,NDPK10n,485.9741916275619,431.1660649514221,0.1726360645962441,1.7614682515437018e-235,2.0973343897468478e-235
naive,ccr2_depleted,NDPK1m,126.4360679515539,34.74909891823876,1.8633606017400848,0.0,0.0
naive,ccr2_depleted,NDPK2n,-460.96877630954924,-481.4720704356294,-0.06278307853760577,7.099531119666775e-26,7.326037757156143e-26
naive,ccr2_depleted,NDPK3m,0.3576195950093196,0.07364402510544,2.2797854018699173,0.0,0.0
naive,ccr2_depleted,NDPK3n,-0.06804626282718947,-0.08271713591378851,-0.28167030354236244,0.0,0.0
naive,ccr2_depleted,NDPK5n,464.2812453739946,415.65899052873533,0.15959858769823082,1.3514732813482784e-188,1.5755530472206268e-188
naive,ccr2_depleted,NDPK6n,-485.72963719706837,-260.3665214886981,0.8996095608182132,0.0,0.0
naive,ccr2_depleted,NDPK7n,477.5632018463181,357.50968762847316,0.41770933957676387,0.0,0.0
naive,ccr2_depleted,NDPK8n,-486.3758984753586,-261.55686789768333,0.8949470878162424,0.0,0.0
naive,ccr2_depleted,NDPK9n,-472.1560271889686,-381.5054613360062,0.3075599771120746,1.7614682515441655e-235,2.0973343897468478e-235
naive,ccr2_depleted,NH4tp,-0.047394295970682544,-0.03446272992764866,0.45967644978660865,0.0,0.0
naive,ccr2_depleted,NICRNS,0.10198042626151224,0.08034476353601651,0.3440163687860826,0.0,0.0
naive,ccr2_depleted,NKCC2t,0.05057331285565223,0.011406526505820119,2.148516755047202,0.0,0.0
naive,ccr2_depleted,NMNATm,123.79441796883987,44.61595341516657,1.4723146884137346,0.0,0.0
naive,ccr2_depleted,NMNAT,-463.1115089944845,-136.7434350848684,1.7598880382180921,0.0,0.0
naive,ccr2_depleted,NP1,0.0506349967605333,0.0317005624451845,0.675626421726148,0.0,0.0
naive,ccr2_depleted,NRPPHRt4_2_r,-376.59423334339317,-644.2222432402463,-0.7745475652793603,0.0,0.0
naive,ccr2_depleted,NTD1m,0.09361280014037383,0.07111167728880946,0.39661932504482234,0.0,0.0
naive,ccr2_depleted,NTD2l,0.04735176183896293,0.047583212208661144,-0.007034561614317518,5.633180757044903e-22,5.782628749134586e-22
naive,ccr2_depleted,NTD4l,0.04857071879397127,0.04681204363460244,0.05320708787512103,1.8428106260793464e-30,1.9120846621177e-30
naive,ccr2_depleted,NTD5l,0.046545210366728505,0.028771069375705442,0.6940138732430945,0.0,0.0
naive,ccr2_depleted,NTD7e,0.047006896485956635,0.05118834104726334,-0.12294281776600097,3.3144761868121555e-44,3.5012815191733133e-44
naive,ccr2_depleted,NTD7l,123.74009183073251,44.54664486657888,1.4739243286827317,0.0,0.0
naive,ccr2_depleted,NTD9l,0.06520809009316855,0.04836746371578083,0.4310140766710723,0.0,0.0
naive,ccr2_depleted,O2Stm,-0.2878922170525096,-0.21085276938214143,0.4492928168789245,0.0,0.0
naive,ccr2_depleted,O2Stn,0.09915136891887237,0.04902354754327821,1.0161578036867982,0.0,0.0
naive,ccr2_depleted,O2Stx,0.09479759335667735,0.028200755118097397,1.7491166401388567,0.0,0.0
naive,ccr2_depleted,O2ter,1.7097766397129692,0.5147879675808115,1.7317576297337123,0.0,0.0
naive,ccr2_depleted,O2tm,477.9007274366974,289.9387956256629,0.7209625756423695,0.0,0.0
naive,ccr2_depleted,O2tn,-0.049575684459436185,-0.024511773771639104,1.0161578036867982,0.0,0.0
naive,ccr2_depleted,O2tp,11.77257130297589,3.8784168223285653,1.601889694014042,0.0,0.0
naive,ccr2_depleted,OCCOAtx,0.15990384085319787,0.027608466821020278,2.534021914250613,0.0,0.0
naive,ccr2_depleted,OIVD1m,0.05234678882718885,0.012557708043012894,2.0595278625969193,0.0,0.0
naive,ccr2_depleted,OIVD3m,322.58445582055145,70.35953107777011,2.1968591490216323,0.0,0.0
naive,ccr2_depleted,ORNt3m,533.1339289534953,301.2020656921088,0.8237663346834857,0.0,0.0
naive,ccr2_depleted,ORNt4m,-533.1374502147318,-301.228094989513,0.8236511938975497,0.0,0.0
naive,ccr2_depleted,ORNTArm,0.058056716740605196,0.04330361363842288,0.42297556481517007,0.0,0.0
naive,ccr2_depleted,P4504F122r,0.05514872526619726,0.017445514145569968,1.6604714225103552,0.0,0.0
naive,ccr2_depleted,PA_HStn,-0.040695626849011166,-0.013589987937162701,1.5823295953186016,0.0,0.0
naive,ccr2_depleted,PAFHe,0.054280159438371126,0.019464104236066388,1.4796090069539538,0.0,0.0
naive,ccr2_depleted,PAFS,0.054280159438371126,0.019464104236066388,1.4796090069539538,0.0,0.0
naive,ccr2_depleted,PAIL_HStn,0.14515699845780805,0.08348392424579107,0.7980438077964747,0.0,0.0
naive,ccr2_depleted,PAIL45P_HStn,485.70667550583573,260.3301261030072,0.8997430408030179,0.0,0.0
naive,ccr2_depleted,PAIL4P_HStn,-485.7616450951513,-260.3696284951108,0.8996874104151746,0.0,0.0
naive,ccr2_depleted,PAN4PP,0.1421567725656367,0.15937645782013202,-0.1649557055499716,7.888464380439267e-106,8.786321385859683e-106
naive,ccr2_depleted,PAPStg,2.0812516827220207,0.6069816754718093,1.7777265707455288,0.0,0.0
naive,ccr2_depleted,PAPtg,2.0812516827220118,0.6069816754718127,1.7777265707455143,0.0,0.0
naive,ccr2_depleted,PCHOL_HStg,0.05193572031807561,0.03656290732890226,0.5063463438720084,0.0,0.0
naive,ccr2_depleted,PCLAD,0.05085195230848781,0.005084430875565102,3.3221449625613118,0.0,0.0
naive,ccr2_depleted,PCm,374.7743556373016,115.14107176879325,1.7026196918385812,0.0,0.0
naive,ccr2_depleted,PCRNtm,0.039503018765018404,0.032750919679869046,0.2704274866288324,2.7825185132213454e-192,3.2507815620796568e-192
naive,ccr2_depleted,PDE1,0.050831607066756296,0.03085550257064875,0.7201980498192153,0.0,0.0
naive,ccr2_depleted,PDE4,0.04605748820716207,0.03665161392764035,0.329559006603823,2.5431805311422668e-242,3.0401515560868607e-242
naive,ccr2_depleted,PE_HStm,-154.78847193815454,-32.702901700320794,2.2428074733908057,0.0,0.0
naive,ccr2_depleted,PEFLIP,0.05991710958440126,0.009230376683938644,2.6985066001629345,0.0,0.0
naive,ccr2_depleted,PEFLIPm,0.04860969225259236,0.008859761985641082,2.455904153545875,0.0,0.0
naive,ccr2_depleted,PEPCKm,0.047116024881329446,0.012132290203638166,1.9573659133055528,0.0,0.0
naive,ccr2_depleted,PEt,-0.05991710958440126,-0.009230376683938644,2.6985066001629345,0.0,0.0
naive,ccr2_depleted,PETHCT,0.9827435288247138,0.55369918245864,0.827712567095093,0.0,0.0
naive,ccr2_depleted,PFK26,0.04772780826393494,0.07603533285455509,-0.6718398931628942,0.0,0.0
naive,ccr2_depleted,PGDI,381.3419238525177,400.8611829745416,-0.07201757584745967,1.0773959792409296e-10,1.087308815276829e-10
naive,ccr2_depleted,PGDIr,-381.3419238525176,-400.8611829745416,-0.07201757584746017,1.0773959792409006e-10,1.087308815276829e-10
naive,ccr2_depleted,PGESr,497.95949101116076,270.543401947708,0.8801683267804319,0.0,0.0
naive,ccr2_depleted,PGISr,-497.89495303660635,-270.57752656842547,0.8797993734773454,0.0,0.0
naive,ccr2_depleted,PGLYCt,-0.10766923767615934,-0.053787900920598895,1.0012525206110165,0.0,0.0
naive,ccr2_depleted,PGPPT,0.051992900623297617,0.03798890087001804,0.4527366725176742,1.4496071942352634e-287,1.7670414715967928e-287
naive,ccr2_depleted,PGS,0.04519957515996662,0.010171643956692721,2.1517563438942413,0.0,0.0
naive,ccr2_depleted,PGSr,0.04366412606041958,0.010233246786526456,2.0931845114039214,0.0,0.0
naive,ccr2_depleted,PHCDm,411.11357142517437,182.3522197460363,1.1728092365483183,0.0,0.0
naive,ccr2_depleted,PHEMEtm,0.161206307711469,0.05535799977038299,1.5420444743437411,0.0,0.0
naive,ccr2_depleted,PHETA1m,506.58704105849245,244.5261999616938,1.0508211199047248,0.0,0.0
naive,ccr2_depleted,PHEtec,291.51230877552644,1785.352521193896,-2.6145802592341085,0.0,0.0
naive,ccr2_depleted,PHYCBOXL,0.2449386012206156,0.1999694205134252,0.2926407552948057,0.0,0.0
naive,ccr2_depleted,PI345P3P,0.04062044746563313,0.02736142912672609,0.5700625458977785,0.0,0.0
naive,ccr2_depleted,PI345P3Pn,0.05393116881707357,0.046356455567321306,0.2183490392945636,1.074404916223176e-137,1.2200705449445943e-137
naive,ccr2_depleted,PI345P5P,0.050247353783251694,0.04343785156899976,0.2100948711037299,3.442765450978395e-148,3.9350347407258495e-148
naive,ccr2_depleted,PI34P5K,0.04229416596609046,0.051900751051363485,-0.29529674334011113,4.336255991767951e-160,4.982921843869994e-160
naive,ccr2_depleted,PI3P4K,0.05005198932484486,0.04713697738021573,0.0865681604361756,5.218207972071408e-37,5.4647136039608754e-37
naive,ccr2_depleted,PI3P5K,0.07115200129369648,0.0484933160195861,0.5531184260516178,0.0,0.0
naive,ccr2_depleted,PI45P3K,0.059249400552198045,0.0323656043737707,0.8723391137598877,0.0,0.0
naive,ccr2_depleted,PI45P3Kn,0.05393116881707357,0.046356455567321306,0.2183490392945636,1.074404916223176e-137,1.2200705449445943e-137
naive,ccr2_depleted,PI45P5P,0.04965190787455876,0.024015036921638706,1.0479111277439275,0.0,0.0
naive,ccr2_depleted,PI45PLC,0.10580067946724823,0.06271436161022927,0.7544811290465121,0.0,0.0
naive,ccr2_depleted,PI4P5K,485.82749442592024,260.4049450061084,0.8996872936182456,0.0,0.0
naive,ccr2_depleted,PI4PLC,0.047290108025056656,0.017663749925737608,1.420746784914885,0.0,0.0
naive,ccr2_depleted,PI4PLCn,0.04069562684901118,0.01358998793716236,1.5823295953186385,0.0,0.0
naive,ccr2_depleted,PI5P4K,0.05326262034765687,0.016914670678297637,1.6548483174729196,0.0,0.0
naive,ccr2_depleted,PIK4,0.05579893398863952,0.02321527761658615,1.2651630270635394,0.0,0.0
naive,ccr2_depleted,PIK5,0.06278070851599525,0.03404916619064208,0.882701841258821,0.0,0.0
naive,ccr2_depleted,PIPLC,0.0531074546111555,0.020877020534056913,1.3469985518717755,0.0,0.0
naive,ccr2_depleted,PIter,405.2320259635542,284.3315843409627,0.5111738300469854,0.0,0.0
naive,ccr2_depleted,PItg,3.734514787379055,1.2835664866993306,1.5407627836478195,0.0,0.0
naive,ccr2_depleted,PItn,485.6889415702208,260.3529315007622,0.8995639875109318,0.0,0.0
naive,ccr2_depleted,PItx,-0.049748285466540934,-0.0325730867528011,0.6109663635997175,0.0,0.0
naive,ccr2_depleted,PMEVKx,0.04974828546653905,0.0325730867528011,0.6109663635996627,0.0,0.0
naive,ccr2_depleted,PMI12346PH,0.043451702453556645,0.031997914360108806,0.4414348308646456,0.0,0.0
naive,ccr2_depleted,PMI12346PHn,0.0734918940199984,0.05993286643247017,0.2942377570198959,0.0,0.0
naive,ccr2_depleted,PMTCOAtx,-448.169579057584,-24.34718871892195,4.202217620332793,0.0,0.0
naive,ccr2_depleted,PPA2,0.054201108525348214,0.05167142217767947,0.06895576568729005,1.442311914740196e-27,1.4916227344865814e-27
naive,ccr2_depleted,PPAm,96.43766171354407,19.13948478100486,2.333044676701957,0.0,0.0
naive,ccr2_depleted,PPAP,0.14821634279740917,0.11615594349051854,0.35164155633738825,0.0,0.0
naive,ccr2_depleted,PPDOy,0.07612640071401974,0.1272055364084011,-0.7406926891376969,0.0,0.0
naive,ccr2_depleted,PPItr,-0.3584015307867874,-0.493510349459877,-0.46150354053950954,0.0,0.0
naive,ccr2_depleted,PPItx,-0.04871740366141424,-0.00930337439741546,2.3886112569068274,0.0,0.0
naive,ccr2_depleted,PPMI12346Ptn,0.07349189401999841,0.05993286643247017,0.29423775701989613,0.0,0.0
naive,ccr2_depleted,PPPG9tm,0.16120630771146913,0.055357999770382964,1.5420444743437431,0.0,0.0
naive,ccr2_depleted,PPPGOm,0.0806031538557345,0.027678999885191496,1.5420444743437411,0.0,0.0
naive,ccr2_depleted,PRDX,0.0435410928114815,0.08400521829594476,-0.9481013317240726,0.0,0.0
naive,ccr2_depleted,PRGNLONEtr,-526.9166691298897,-443.107017557098,0.2499196452242425,0.0,0.0
naive,ccr2_depleted,PRODt2r,-591.5079673302135,-632.3314040042852,-0.09628326995359911,8.412330085413977e-126,9.479465043542246e-126
naive,ccr2_depleted,PROSTGD2t,-405.3628863295173,-200.73226609976922,1.013941469534377,0.0,0.0
naive,ccr2_depleted,PROSTGE1t,-523.1456796047123,-335.18381836439534,0.6422602457019326,0.0,0.0
naive,ccr2_depleted,PROSTGE2t,-0.041196752729339606,-0.010957877959549145,1.910562182459049,0.0,0.0
naive,ccr2_depleted,PROSTGI2t,164.8449872979284,340.3424469429051,-1.045877075678888,0.0,0.0
naive,ccr2_depleted,PROSTGI2tr,-0.05102980317421408,-0.036562264108115076,0.4809846654954843,0.0,0.0
naive,ccr2_depleted,PSDm_hs,154.73986224590155,32.69404193833514,2.2427452421493443,0.0,0.0
naive,ccr2_depleted,PSFLIP,0.05577618692631083,0.008774684944321319,2.6682300781876402,0.0,0.0
naive,ccr2_depleted,PSFLIPm,154.73986224590155,32.69404193833514,2.2427452421493443,0.0,0.0
naive,ccr2_depleted,PSSA1_hs,-0.9410181353580701,-0.504463441417824,0.8994728062503691,0.0,0.0
naive,ccr2_depleted,PSSA2_hs,155.68088038125848,33.19850537975291,2.2294015767562967,0.0,0.0
naive,ccr2_depleted,PSt3,-0.05577618692631083,-0.008774684944321319,2.6682300781876402,0.0,0.0
naive,ccr2_depleted,PTDCACRNt,410.9793427643043,367.2855574608356,0.16216371391867587,1.026179329814094e-170,1.1855858276492928e-170
naive,ccr2_depleted,PTHPS,0.054201108525348214,0.05167142217767947,0.06895576568729005,1.442311914740196e-27,1.4916227344865814e-27
naive,ccr2_depleted,PTRCAT1,0.06059334948053518,0.03474056424553225,0.8025382710514476,0.0,0.0
naive,ccr2_depleted,PVD3,-9.816410558276186,-4.685908270817821,1.0668668761143405,0.0,0.0
naive,ccr2_depleted,PYNP2r,0.050588832325338555,0.03583336557584695,0.49751538761621006,0.0,0.0
naive,ccr2_depleted,PYRt2p,428.7854385091483,130.16564763096105,1.7199071597386644,0.0,0.0
naive,ccr2_depleted,RAI1,-819.5681687299399,-380.67724408914796,1.1062956206330559,0.0,0.0
naive,ccr2_depleted,RAI2,719.1280036747401,374.7642730861175,0.9402651660258334,0.0,0.0
naive,ccr2_depleted,RDH1,-558.4817436972219,-342.35428790284726,0.706020039038758,0.0,0.0
naive,ccr2_depleted,RDH1a,54.675424146146725,17.62965135048882,1.6328885633134314,0.0,0.0
naive,ccr2_depleted,RDH2,-719.2274097540533,-374.79297725557825,0.9403540824857951,0.0,0.0
naive,ccr2_depleted,RDH2a,0.09940607931595492,0.028704169460623905,1.7920737718670903,0.0,0.0
naive,ccr2_depleted,RDH3,819.529035141763,380.6630244821143,1.106280622332497,0.0,0.0
naive,ccr2_depleted,RDH3a,0.03913358817325289,0.014219607035916666,1.4605258014495237,0.0,0.0
naive,ccr2_depleted,RDH4,403.3661544958779,318.81166554932804,0.33938561633705394,0.0,0.0
naive,ccr2_depleted,RETH1,0.11409923544387006,0.11741757001263697,-0.04135918070734885,8.592976892057992e-22,8.81090965017229e-22
naive,ccr2_depleted,RETI1,819.5681687299399,380.67724408914796,1.1062956206330559,0.0,0.0
naive,ccr2_depleted,RETI2,-719.2421029101814,-374.8816906561318,0.9400421099870606,0.0,0.0
naive,ccr2_depleted,RETI3,403.3661544958779,318.81166554932804,0.33938561633705394,0.0,0.0
naive,ccr2_depleted,RETNGLCt2,0.11409923544385248,0.11741757001263652,-0.04135918070756543,8.592976892057992e-22,8.81090965017229e-22
naive,ccr2_depleted,RETNGLCt2r,0.11409923544385248,0.11741757001263652,-0.04135918070756543,8.592976892057992e-22,8.81090965017229e-22
naive,ccr2_depleted,RETNt,-431.8883946070221,-150.3585838500118,1.5222513174500296,0.0,0.0
naive,ccr2_depleted,RNMK,0.06059363823709878,0.031867824442331626,0.9270657998752888,0.0,0.0
naive,ccr2_depleted,RTOTAL2t,-0.16652736649928976,-0.13505582967853288,0.3022033689598217,6.826500239436434e-236,8.13504714409553e-236
naive,ccr2_depleted,RTOTAL3CRNCPT1,0.05484903302576204,0.028754756925932254,0.9316655443425029,0.0,0.0
naive,ccr2_depleted,RTOTAL3CRNCPT2,0.05484903302576138,0.028754756925932254,0.9316655443424855,0.0,0.0
naive,ccr2_depleted,RTOTAL3CRNt,0.05484903302576204,0.028754756925932254,0.9316655443425029,0.0,0.0
naive,ccr2_depleted,Rtotaltl,-0.1533180960037043,-0.10780381653052754,0.5081197330230568,0.0,0.0
naive,ccr2_depleted,S23T2g,0.0514400847352159,0.019779829178972808,1.3788630523024994,0.0,0.0
naive,ccr2_depleted,S23T4g,0.055830575438881334,0.00804721822693767,2.7944933640913634,0.0,0.0
naive,ccr2_depleted,S2T1g,0.0502188631288428,0.010665631491965637,2.2352599813085248,0.0,0.0
naive,ccr2_depleted,S2T2g,0.05021886312884277,0.010665631491965631,2.2352599813085248,0.0,0.0
naive,ccr2_depleted,S2T3g,0.0539279176465131,0.017641493899157843,1.6120595922974383,0.0,0.0
naive,ccr2_depleted,S2T4g,0.059555298996513975,0.01760810894233956,1.757989902733512,0.0,0.0
naive,ccr2_depleted,S2TASE1ly,0.05955529899651649,0.01760810894233957,1.7579899027335724,0.0,0.0
naive,ccr2_depleted,S2TASE2ly,0.059555298996516466,0.01760810894233957,1.757989902733572,0.0,0.0
naive,ccr2_depleted,S2TASE3ly,0.0539279176465131,0.017641493899157843,1.6120595922974383,0.0,0.0
naive,ccr2_depleted,S2TASE4ly,0.05021886312884277,0.010665631491965631,2.2352599813085248,0.0,0.0
naive,ccr2_depleted,S2TASE5ly,0.05021886312884277,0.010665631491965631,2.2352599813085248,0.0,0.0
naive,ccr2_depleted,S3T1g,0.059555298996513975,0.01760810894233957,1.7579899027335115,0.0,0.0
naive,ccr2_depleted,S3T2g,0.059555298996513975,0.01760810894233957,1.7579899027335115,0.0,0.0
